Seconds,Test,Run,Point,ID_rcs,at001,me2615,me2616,me2645,me2655,me1800,me3058,ads_dewpt,vr2615,vr2616,vr2645,vr2655,vr1800,vr3058,ptpsi_rcs,pt_fr1,ttemp,ps_fr1,x3mln2,mach_rcs,te2693,pitch,qinfft
4.300246,215,144,2688,4,-179.776077,-70.690002,-53.044376,-91.99749,56.429375,-76.427498,-66.471252,-84,5.446986,18.72345,1.735242,17824.23633,4.385927,7.396972,43.219154,43.219154,-181.255188,26.243614,318.406799,0.868104,-169.2677,2.38845,2008.077637
4.400251,215,144,2688,4,-179.901443,-70.684372,-53.049999,-92.025612,56.435001,-76.404999,-66.454376,-84,5.446986,18.72345,1.735242,17824.23633,4.385927,7.396972,43.212387,43.221409,-181.360825,26.227373,316.446533,0.867842,-169.22699,2.38845,2007.101685
4.501257,215,144,2688,4,-179.901443,-70.701248,-53.0275,-92.036865,56.418125,-76.427498,-66.482498,-84,5.447828,18.740454,1.735159,17845.4043,4.385927,7.380287,43.212387,43.234943,-181.360825,26.227373,318.531128,0.867842,-169.2677,2.415869,2007.101685
4.600263,215,144,2688,4,-179.755188,-70.684372,-53.010624,-91.99749,56.435001,-76.427498,-66.476875,-84,5.447828,18.740454,1.735159,17845.4043,4.385927,7.380287,43.232685,43.221409,-181.212585,26.227373,316.889648,0.868157,-169.247345,2.415869,2008.84021
4.700269,215,144,2688,4,-179.796967,-70.690002,-53.055626,-92.014366,56.451874,-76.427498,-66.443123,-84,5.447828,18.740454,1.735159,17845.4043,4.385927,7.380287,43.223663,43.196598,-181.212585,26.243614,317.377716,0.868378,-169.22699,2.415869,2008.974609
4.800274,215,144,2688,4,-179.843994,-70.701248,-53.021873,-92.019989,56.395626,-76.416252,-66.471252,-84,5.449788,18.732433,1.739271,17862.35352,4.385927,7.359105,43.234943,43.192085,-181.27562,26.238974,319.795258,0.868176,-169.247345,2.415869,2008.989014
4.90028,215,144,2688,4,-179.671646,-70.701248,-53.055626,-92.053741,56.401249,-76.433128,-66.555626,-84,5.449788,18.732433,1.739271,17862.35352,4.385927,7.359105,43.234943,43.223663,-181.253479,26.238974,324.717529,0.868176,-169.2677,2.455921,2008.989868
5.000286,215,144,2688,4,-179.629883,-70.695625,-53.016251,-91.991867,56.446251,-76.416252,-66.516251,-84,5.452599,18.727985,1.736812,17879.32031,4.385927,7.377788,43.234943,43.239452,-181.253479,26.220413,320.436737,0.868176,-169.22699,2.481544,2008.989868
5.100292,215,144,2688,4,-179.713425,-70.684372,-53.03875,-92.019989,56.46875,-76.421875,-66.53875,-84,5.452599,18.727985,1.736812,17879.32031,4.385927,7.377788,43.223663,43.221409,-181.253479,26.225054,320.247192,0.868872,-169.308411,2.481544,2010.208374
5.200297,215,144,2688,4,-179.73259,-70.684372,-53.03875,-92.025612,56.423752,-76.427498,-66.510628,-84,5.452599,18.727985,1.736812,17879.32031,4.385927,7.377788,43.219154,43.203362,-181.190445,26.227373,324.597382,0.868743,-169.247345,2.481544,2009.679077
5.300303,215,144,2688,4,-179.683838,-70.695625,-53.049999,-92.025612,56.4575,-76.421875,-66.550003,-84,5.452599,18.727985,1.736812,17879.32031,4.385927,7.377788,43.219154,43.219154,-181.190445,26.227373,324.622437,0.868743,-169.20665,2.504992,2009.679077
5.400309,215,144,2688,4,-179.58812,-70.678749,-53.03875,-91.991867,56.440624,-76.427498,-66.550003,-84,5.444747,18.716402,1.731494,17841.16992,4.384068,7.31402,43.221409,43.216896,-181.042252,26.241295,321.621674,0.868854,-169.20665,2.516546,2010.066284
5.500315,215,144,2688,4,-179.600296,-70.695625,-53.016251,-92.036865,56.418125,-76.427498,-66.578125,-84,5.444747,18.716402,1.731494,17841.16992,4.384068,7.31402,43.221409,43.214642,-181.146149,26.229694,322.612366,0.868955,-169.20665,2.516546,2010.315063
5.60032,215,144,2688,4,-179.490723,-70.684372,-53.03875,-92.019989,56.463123,-76.416252,-66.533127,-84,5.453997,18.746254,1.736184,17858.11523,4.385927,7.341047,43.196598,43.221409,-180.979233,26.234333,320.698273,0.868215,-169.186295,2.527365,2007.317017
5.700326,215,144,2688,4,-179.30809,-70.690002,-53.021873,-92.036865,56.429375,-76.421875,-66.583748,-84,5.453997,18.746254,1.736184,17858.11523,4.385927,7.341047,43.196598,43.219154,-180.979233,26.241295,319.980591,0.868215,-169.20665,2.549741,2007.317017
5.800332,215,144,2688,4,-179.433304,-70.701248,-53.016251,-92.025612,56.423752,-76.410622,-66.606247,-84,5.448109,18.769676,1.735464,17853.87695,4.385927,7.30372,43.192085,43.207874,-181.042252,26.255215,321.142365,0.867807,-169.22699,2.561653,2006.085571
5.900337,215,144,2688,4,-179.567245,-70.690002,-53.066875,-92.025612,56.423752,-76.427498,-66.572502,-84,5.448109,18.769676,1.735464,17853.87695,4.385927,7.30372,43.239452,43.225922,-181.147858,26.248255,321.027252,0.870077,-169.247345,2.561653,2013.959229
6.000343,215,144,2688,4,-179.685593,-70.695625,-53.010624,-92.031242,56.401249,-76.421875,-66.611877,-84,5.449788,18.760672,1.73262,17862.35352,4.387785,7.300107,43.239452,43.237198,-181.147858,26.225054,323.405609,0.870077,-169.247345,2.57428,2013.959229
6.103349,215,144,2688,4,-179.704712,-70.678749,-53.03875,-92.048119,56.451874,-76.421875,-66.589378,-84,5.449788,18.760672,1.73262,17862.35352,4.387785,7.300107,43.203362,43.223663,-181.105286,26.238974,322.973877,0.868875,-169.22699,2.600259,2009.276855
6.200355,215,144,2688,4,-179.629883,-70.701248,-53.044376,-92.036865,56.423752,-76.427498,-66.595001,-84,5.448945,18.701344,1.735473,17858.11523,4.385927,7.304805,43.219154,43.210129,-181.086578,26.236654,321.320679,0.868553,-169.165939,2.600259,2009.20752
6.30136,215,144,2688,4,-179.525497,-70.678749,-53.033127,-92.014366,56.412498,-76.416252,-66.645622,-84,5.448945,18.701344,1.735473,17858.11523,4.385927,7.304805,43.216896,43.201107,-181.170013,26.245934,322.910126,0.868275,-169.20665,2.644289,2008.404419
6.400366,215,144,2688,4,-179.555069,-70.684372,-53.03875,-92.048119,56.440624,-76.416252,-66.651253,-84,5.448945,18.701344,1.735473,17858.11523,4.385927,7.304805,43.214642,43.221409,-180.849716,26.250574,325.387024,0.86959,-169.22699,2.644289,2011.598145
6.500371,215,144,2688,4,-179.58812,-70.690002,-53.010624,-92.048119,56.46875,-76.421875,-66.639999,-84,5.453712,18.737556,1.731633,17879.32031,4.387785,7.296385,43.221409,43.241711,-181.040512,26.271454,324.122284,0.869182,-169.288055,2.659446,2010.887695
6.600378,215,144,2688,4,-179.629883,-70.678749,-53.044376,-92.025612,56.435001,-76.421875,-66.634377,-84,5.453712,18.737556,1.731633,17879.32031,4.387785,7.296385,43.219154,43.241711,-180.957077,26.250574,323.295837,0.868144,-169.20665,2.674965,2008.189575
6.700383,215,144,2688,4,-179.596832,-70.690002,-53.016251,-92.025612,56.429375,-76.421875,-66.679375,-84,5.456524,18.754284,1.737452,17849.64063,4.389643,7.270806,43.225922,43.214642,-181.021835,26.236654,324.377991,0.868978,-169.20665,2.689762,2010.588501
6.800389,215,144,2688,4,-179.495911,-70.706879,-53.0275,-92.014366,56.429375,-76.421875,-66.628754,-84,5.456524,18.754284,1.737452,17849.64063,4.389643,7.270806,43.225922,43.198853,-181.021835,26.241295,322.423645,0.868978,-169.247345,2.703473,2010.588501
